run,accuracy,mean_confidence,n_correct,n_total,n_errors
1,0.98675,0.9946246330067515,3947,4000,53
2,0.98675,0.9946246330067515,3947,4000,53
3,0.98675,0.9946246330067515,3947,4000,53
4,0.98675,0.9946246330067515,3947,4000,53
5,0.98675,0.9946246330067515,3947,4000,53
6,0.98675,0.9946246330067515,3947,4000,53
7,0.98675,0.9946246330067515,3947,4000,53
8,0.98675,0.9946246330067515,3947,4000,53
9,0.98675,0.9946246330067515,3947,4000,53
10,0.98675,0.9946246330067515,3947,4000,53
11,0.98675,0.9946246330067515,3947,4000,53
12,0.98675,0.9946246330067515,3947,4000,53
13,0.98675,0.9946246330067515,3947,4000,53
14,0.98675,0.9946246330067515,3947,4000,53
15,0.98675,0.9946246330067515,3947,4000,53
16,0.98675,0.9946246330067515,3947,4000,53
17,0.98675,0.9946246330067515,3947,4000,53
18,0.98675,0.9946246330067515,3947,4000,53
19,0.98675,0.9946246330067515,3947,4000,53
20,0.98675,0.9946246330067515,3947,4000,53
21,0.98675,0.9946246330067515,3947,4000,53
22,0.98675,0.9946246330067515,3947,4000,53
23,0.98675,0.9946246330067515,3947,4000,53
24,0.98675,0.9946246330067515,3947,4000,53
25,0.98675,0.9946246330067515,3947,4000,53
26,0.98675,0.9946246330067515,3947,4000,53
27,0.98675,0.9946246330067515,3947,4000,53
28,0.98675,0.9946246330067515,3947,4000,53
29,0.98675,0.9946246330067515,3947,4000,53
30,0.98675,0.9946246330067515,3947,4000,53
31,0.98675,0.9946246330067515,3947,4000,53
32,0.98675,0.9946246330067515,3947,4000,53
33,0.98675,0.9946246330067515,3947,4000,53
34,0.98675,0.9946246330067515,3947,4000,53
35,0.98675,0.9946246330067515,3947,4000,53
36,0.98675,0.9946246330067515,3947,4000,53
37,0.98675,0.9946246330067515,3947,4000,53
38,0.98675,0.9946246330067515,3947,4000,53
39,0.98675,0.9946246330067515,3947,4000,53
40,0.98675,0.9946246330067515,3947,4000,53
41,0.98675,0.9946246330067515,3947,4000,53
42,0.98675,0.9946246330067515,3947,4000,53
43,0.98675,0.9946246330067515,3947,4000,53
44,0.98675,0.9946246330067515,3947,4000,53
45,0.98675,0.9946246330067515,3947,4000,53
46,0.98675,0.9946246330067515,3947,4000,53
47,0.98675,0.9946246330067515,3947,4000,53
48,0.98675,0.9946246330067515,3947,4000,53
49,0.98675,0.9946246330067515,3947,4000,53
50,0.98675,0.9946246330067515,3947,4000,53
51,0.98675,0.9946246330067515,3947,4000,53
52,0.98675,0.9946246330067515,3947,4000,53
53,0.98675,0.9946246330067515,3947,4000,53
54,0.98675,0.9946246330067515,3947,4000,53
55,0.98675,0.9946246330067515,3947,4000,53
56,0.98675,0.9946246330067515,3947,4000,53
57,0.98675,0.9946246330067515,3947,4000,53
58,0.98675,0.9946246330067515,3947,4000,53
59,0.98675,0.9946246330067515,3947,4000,53
60,0.98675,0.9946246330067515,3947,4000,53
61,0.98675,0.9946246330067515,3947,4000,53
62,0.98675,0.9946246330067515,3947,4000,53
63,0.98675,0.9946246330067515,3947,4000,53
64,0.98675,0.9946246330067515,3947,4000,53
65,0.98675,0.9946246330067515,3947,4000,53
66,0.98675,0.9946246330067515,3947,4000,53
67,0.98675,0.9946246330067515,3947,4000,53
68,0.98675,0.9946246330067515,3947,4000,53
69,0.98675,0.9946246330067515,3947,4000,53
70,0.98675,0.9946246330067515,3947,4000,53
71,0.98675,0.9946246330067515,3947,4000,53
72,0.98675,0.9946246330067515,3947,4000,53
73,0.98675,0.9946246330067515,3947,4000,53
74,0.98675,0.9946246330067515,3947,4000,53
75,0.98675,0.9946246330067515,3947,4000,53
76,0.98675,0.9946246330067515,3947,4000,53
77,0.98675,0.9946246330067515,3947,4000,53
78,0.98675,0.9946246330067515,3947,4000,53
79,0.98675,0.9946246330067515,3947,4000,53
80,0.98675,0.9946246330067515,3947,4000,53
81,0.98675,0.9946246330067515,3947,4000,53
82,0.98675,0.9946246330067515,3947,4000,53
83,0.98675,0.9946246330067515,3947,4000,53
84,0.98675,0.9946246330067515,3947,4000,53
85,0.98675,0.9946246330067515,3947,4000,53
86,0.98675,0.9946246330067515,3947,4000,53
87,0.98675,0.9946246330067515,3947,4000,53
88,0.98675,0.9946246330067515,3947,4000,53
89,0.98675,0.9946246330067515,3947,4000,53
90,0.98675,0.9946246330067515,3947,4000,53
91,0.98675,0.9946246330067515,3947,4000,53
92,0.98675,0.9946246330067515,3947,4000,53
93,0.98675,0.9946246330067515,3947,4000,53
94,0.98675,0.9946246330067515,3947,4000,53
95,0.98675,0.9946246330067515,3947,4000,53
96,0.98675,0.9946246330067515,3947,4000,53
97,0.98675,0.9946246330067515,3947,4000,53
98,0.98675,0.9946246330067515,3947,4000,53
99,0.98675,0.9946246330067515,3947,4000,53
100,0.98675,0.9946246330067515,3947,4000,53
mean,0.986750,0.994625,3947.000000,4000.000000,53.000000
std,0.000000,0.000000,0.000000,0.000000,0.000000
