img,pred,label,conf
img_000149.jpg,xzg4329,kzg4329,0.944250
img_000468.jpg,odo9369,odq9369,0.835216
img_000502.jpg,ool6801,qol8801,0.982210
img_000857.jpg,mtq6903,mtq6935,0.239894
img_001087.jpg,pxr9590,pxd9590,0.491894
img_001122.jpg,ocz1090,ocz0909,0.917225
img_001152.jpg,mox4288,mox4428,0.977004
img_001156.jpg,ppq6642,ppo6642,0.784169
img_001241.jpg,mtz8485,mtz8488,0.245652
img_001280.jpg,byq3660,byq3760,0.460890
img_001312.jpg,qcx7051,ocx7051,0.997261
img_001380.jpg,mpe2461,mpe2451,0.967457
img_001453.jpg,byo3760,byq3760,0.993050
img_001465.jpg,mtz3356,mtz3256,0.771480
img_001569.jpg,msb4765,msb4766,0.993438
img_001669.jpg,ppx9384,ppx9984,0.626229
img_001713.jpg,mtz1731,mtz4291,0.862551
img_001838.jpg,mtz8247,mtz9247,0.187280
img_001861.jpg,qcx7051,ocx7051,0.869944
img_001902.jpg,mtz5247,mtz9247,0.943333
img_001912.jpg,odr4012,odr4042,0.960633
img_001941.jpg,mtz3231,mtz4291,0.460387
img_001987.jpg,odf27e6,odf2786,0.940185
img_002071.jpg,ppl6787,ppl5787,0.987345
img_002119.jpg,mtz1256,mtz3256,0.385392
img_002141.jpg,odr4012,odr4042,0.903193
img_002156.jpg,mtz3356,mtz3256,0.766707
img_002197.jpg,mtz3356,mtz3256,0.700149
img_002205.jpg,odr4012,odr4042,0.631991
img_002210.jpg,mtz3255,mtz3256,0.504525
img_002257.jpg,mtz3356,mtz3256,0.365674
img_002287.jpg,mtz8483,mtz8488,0.522403
img_002288.jpg,mtz3356,mtz3256,0.469399
img_002305.jpg,byo3760,byq3760,0.848905
img_002570.jpg,lttz848,mtz8488,0.663020
img_002669.jpg,mtz8848,mtz8488,0.772624
img_002878.jpg,ppl5724,ppl5787,0.129991
img_002886.jpg,mtz5794,mtz6794,0.534423
img_003032.jpg,odr4043,odr4042,0.208344
img_003044.jpg,mtz3356,mtz3256,0.838770
img_003244.jpg,odr4012,odr4042,0.982478
img_003305.jpg,qjk8374,qjk6374,0.954140
img_003319.jpg,odr4012,odr4042,0.942938
img_003365.jpg,ppp7506,ppp7505,0.518841
img_003398.jpg,ppk1216,ppk1316,0.570524
img_003433.jpg,mtz3255,mtz3256,0.786175
img_003569.jpg,mqr2356,mor2356,0.999850
img_003594.jpg,lod2541,loo2541,0.582415
img_003714.jpg,mt86924,mtb6924,0.513185
img_003868.jpg,mrj2434,mrj3434,0.987942
img_003898.jpg,ins9534,kvs9534,0.601447
img_004147.jpg,kys9534,kvs9534,0.732735
img_004175.jpg,one4018,dne4018,0.843004
img_004273.jpg,kys9534,kvs9534,0.997696
img_004368.jpg,mys9534,kvs9534,0.610367
img_004411.jpg,owk3417,dwk3417,0.808286
img_004419.jpg,mt8692,mtb6924,0.591369
img_004461.jpg,ppw6755,ppm6755,0.521293
img_004486.jpg,gkk5b71,gmk5871,0.761850
img_004741.jpg,hqi3150,hoi3150,0.644412
img_004746.jpg,cma9613,cma9593,0.790599
img_004914.jpg,au58928,ajs8928,0.932276
img_004943.jpg,oww1321,qww1321,0.994533
img_010570.jpg,qre7835,qre7b35,0.737301
img_010574.jpg,ean2657,ean2g57,0.434503
img_010600.jpg,odt7c21,odt7c71,0.722529
img_010632.jpg,qrf7c47,qre7c42,0.548591
img_010634.jpg,fyo7e04,fyo2e04,0.969449
img_010683.jpg,qrf8g36,qrf8g56,0.521370
img_011206.jpg,dba2a72,qba2a72,0.946379
img_011247.jpg,qrhih27,qrh1h27,0.810740
img_011316.jpg,qng3d23,qrg3d23,0.726493
img_011335.jpg,mty6c24,mty6c21,0.321329
img_011510.jpg,pqi6ca3,pqx6c83,0.813427
img_011574.jpg,qrj6i94,qrj6j94,0.712837
img_011700.jpg,qr65c94,qrg5c94,0.695060
img_011942.jpg,qrj7bs9,qrj7b99,0.657016
img_012230.jpg,hmf0082,hmf0g82,0.934498
img_012356.jpg,ppl3h66,ppl1h66,0.782342
img_012365.jpg,fag3835,fag3b35,0.995413
img_012487.jpg,fag3835,fag3b35,0.599974
img_012581.jpg,ppl2h66,ppl1h66,0.988468
img_012728.jpg,qrk1h27,qrh1h27,0.861709
img_012742.jpg,qrg2215,qrg2h19,0.268508
img_012825.jpg,odd9d63,odq9d63,0.608793
img_012915.jpg,orf8g17,qrf8g17,0.589372
img_012970.jpg,ryf0h73,nyf0h73,0.986305
img_013289.jpg,aue1895,aue1b95,0.975108
img_013315.jpg,qrf7873,qrf7b72,0.546817
img_013319.jpg,ppl1h64,ppl1h66,0.660734
img_013335.jpg,aue1895,aue1b95,0.999768
img_013352.jpg,qre4e67,qre4e62,0.900132
img_013389.jpg,aue1895,aue1b95,0.999722
img_013408.jpg,qr62h80,qrg2h80,0.847372
img_013651.jpg,qrf7675,qrf7b75,0.980697
img_013734.jpg,mscag68,msc4g65,0.326533
img_014468.jpg,mtm373,mtm3j73,0.683817
